I, [2016-06-05T13:11:30.002862 #7997]  INFO -- Kitchen: -----> Starting Kitchen (v1.7.3)
E, [2016-06-05T13:11:30.003229 #7997] ERROR -- Kitchen: ------Exception-------
E, [2016-06-05T13:11:30.003259 #7997] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-06-05T13:11:30.003276 #7997] ERROR -- Kitchen: Message: Kitchen YAML file /Users/Anthony/Desktop/learn-chef/.kitchen.yml does not exist.
E, [2016-06-05T13:11:30.003291 #7997] ERROR -- Kitchen: ------Backtrace-------
E, [2016-06-05T13:11:30.003307 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-06-05T13:11:30.003333 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/config.rb:149:in `data'
E, [2016-06-05T13:11:30.003353 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/config.rb:128:in `suites'
E, [2016-06-05T13:11:30.003370 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/config.rb:179:in `filter_instances'
E, [2016-06-05T13:11:30.003420 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/config.rb:138:in `build_instances'
E, [2016-06-05T13:11:30.003447 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/config.rb:114:in `instances'
E, [2016-06-05T13:11:30.003490 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-06-05T13:11:30.003507 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-06-05T13:11:30.003521 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-06-05T13:11:30.003539 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-06-05T13:11:30.003554 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/command/action.rb:37:in `call'
E, [2016-06-05T13:11:30.003567 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/cli.rb:56:in `perform'
E, [2016-06-05T13:11:30.003580 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/cli.rb:180:in `block (2 levels) in <class:CLI>'
E, [2016-06-05T13:11:30.003593 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-06-05T13:11:30.003606 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-06-05T13:11:30.003618 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/cli.rb:321:in `invoke_task'
E, [2016-06-05T13:11:30.003631 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-06-05T13:11:30.003643 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-06-05T13:11:30.003658 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/bin/kitchen:13:in `block in <top (required)>'
E, [2016-06-05T13:11:30.003672 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2016-06-05T13:11:30.003685 #7997] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.7.3/bin/kitchen:13:in `<top (required)>'
E, [2016-06-05T13:11:30.003697 #7997] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `load'
E, [2016-06-05T13:11:30.003710 #7997] ERROR -- Kitchen: /usr/local/bin/kitchen:17:in `<main>'
E, [2016-06-05T13:11:30.003722 #7997] ERROR -- Kitchen: ----------------------
